analyzer,symbol,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_r,avg_r,error
volume,ETH-USD,2.5,3.0,76,19,57,0.25,0.8337597267090602,-9.475695577583572,-0.1246802049682049,
volume,ETH-USD,3.0,2.5,76,21,55,0.27631578947368424,0.8109743094305519,-10.396412981319646,-0.1367949076489427,
volume,ETH-USD,3.0,3.0,76,20,56,0.2631578947368421,0.7462314635153063,-14.017352885013514,-0.18443885375017782,
volume,ADA-USD,1.0,1.5,81,30,51,0.37037037037037035,0.8823529411764706,-6.0,-0.07407407407407407,
volume,ADA-USD,1.0,3.0,81,15,66,0.18518518518518517,0.6818181818181818,-21.0,-0.25925925925925924,
volume,ADA-USD,1.0,2.0,81,20,61,0.24691358024691357,0.6557377049180327,-21.0,-0.25925925925925924,
volume,ADA-USD,1.0,2.5,81,17,64,0.20987654320987653,0.6640625,-21.5,-0.2654320987654321,
volume,ADA-USD,1.5,1.5,81,32,49,0.3950617283950617,0.9795918367346939,-1.0,-0.012345679012345678,
volume,ADA-USD,1.5,2.5,81,22,59,0.2716049382716049,0.9322033898305084,-4.0,-0.04938271604938271,
volume,ADA-USD,1.5,2.0,81,24,57,0.2962962962962963,0.8421052631578947,-9.0,-0.1111111111111111,
volume,ADA-USD,1.5,3.0,81,20,61,0.24691358024691357,0.9836065573770492,-1.0,-0.012345679012345678,
volume,ADA-USD,2.0,2.0,81,23,58,0.2839506172839506,0.7931034482758621,-12.0,-0.14814814814814814,
volume,ADA-USD,2.0,1.5,81,29,52,0.35802469135802467,0.8365384615384616,-8.5,-0.10493827160493827,
volume,ADA-USD,2.0,3.0,81,22,59,0.2716049382716049,1.0206794567487054,1.2200879481736138,0.015062814174982887,
volume,ADA-USD,2.0,2.5,81,22,59,0.2716049382716049,0.8596625075961629,-8.279912051826384,-0.10222113644230105,
