symbol,atr_mult,rr_ratio,pause_after_loss,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
ADA-USD,3.5,2.0,0,30,7,23,0.23333333333333334,0.547213364096689,-1064.8042701199174,-0.10648042701199174,-0.5411668768312634,0.12347497229495073,
ADA-USD,4.0,1.5,3,4,1,3,0.25,0.5125916821807307,-137.56697537511354,-0.013756697537511355,-0.22036421674544238,0.027821665440771456,
ADA-USD,4.0,2.0,2,3,1,2,0.3333333333333333,0.9131781126144952,-18.50426528605749,-0.0018504265286057489,-0.022525889723343896,0.020906020789436562,
ADA-USD,4.0,2.0,3,4,1,3,0.25,0.6091004513941972,-124.90342997319203,-0.012490342997319203,-0.1623401800132882,0.03134281145758307,
ADA-USD,4.0,2.5,2,3,1,2,0.3333333333333333,1.1417704857473023,30.36817353467086,0.0030368173534670857,0.04263791515619692,0.020909271821478476,
ADA-USD,4.0,1.5,0,25,6,19,0.24,0.43788114830324226,-1063.604071073778,-0.10636040710737779,-0.6865809038374691,0.11910473922069545,
ADA-USD,3.5,3.0,0,28,7,21,0.25,0.525170331658685,-1033.6039836211894,-0.10336039836211894,-0.5140429332663496,0.11757479100687852,
ADA-USD,4.0,2.5,3,4,1,3,0.25,0.7616145040787489,-76.5519538222834,-0.007655195382228339,-0.0839397298719103,0.03134602783478941,
ADA-USD,5.0,1.5,2,3,1,2,0.3333333333333333,0.6937726380211628,-64.31549854695004,-0.006431549854695004,-0.10693289336149331,0.020700899201053547,
ADA-USD,4.0,2.0,0,24,5,19,0.20833333333333334,0.4793395631818151,-1001.0624623761105,-0.10010624623761105,-0.5829091623118233,0.11728604644522343,
ADA-USD,4.0,2.5,0,16,2,14,0.125,0.3352009484329889,-953.1527363468049,-0.0953152736346805,-0.6723890983521787,0.11691334536839329,
ADA-USD,3.5,2.5,0,35,9,26,0.2571428571428571,0.5926879280613256,-1094.9729786753014,-0.10949729786753014,-0.4863551649811359,0.13069405874184153,
ADA-USD,4.0,3.0,2,3,1,2,0.3333333333333333,0.37001444400525424,-133.64633037641215,-0.013364633037641216,-0.2796767672797532,0.021048964573665754,
ADA-USD,5.0,1.5,3,4,1,3,0.25,0.46309241936507156,-168.93540561540976,-0.016893540561540975,-0.2562377668943327,0.031012637753422886,
ADA-USD,4.0,3.0,3,7,2,5,0.2857142857142857,0.687920336835971,-165.59705136420234,-0.016559705136420234,-0.1481891619865392,0.03136865908885902,
ADA-USD,5.0,2.0,2,3,1,2,0.3333333333333333,0.926920594548804,-15.426028112033237,-0.0015426028112033236,-0.01806245221003849,0.02070350027351611,
ADA-USD,5.0,1.5,0,23,5,18,0.21739130434782608,0.38876252682710066,-1080.3466233534145,-0.10803466233534145,-0.7373222213799862,0.12084481648840287,
