symbol,regime_1d_mode,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,blocked_1d,error
DOT-USD,drawdown_10,False,True,133,49,84,0.3684210526315789,1.2329401552796078,2497.7826213216995,0.24977826213216994,0.1520962457157857,0.11674687799938291,0,
ATOM-USD,none,True,True,53,15,38,0.2830188679245283,0.9587399941318152,-172.38154023232528,-0.01723815402323253,-0.009044547516115211,0.13219362909664129,0,
ATOM-USD,none,True,False,190,73,117,0.38421052631578945,1.136963822252118,1719.052894661052,0.1719052894661052,0.09962013119376663,0.1462566239940684,0,
ATOM-USD,baseline,False,False,167,66,101,0.39520958083832336,1.1166957629225345,1329.0644560298751,0.1329064456029875,0.08564937178666795,0.11975484877912877,0,
ATOM-USD,baseline,True,False,156,63,93,0.40384615384615385,1.1571562634515344,1640.7079248748269,0.1640707924874827,0.10421721774459587,0.09893064943139866,0,
ATOM-USD,drawdown_10,True,False,162,68,94,0.41975308641975306,1.3441395868334356,3706.46264531574,0.37064626453157395,0.1911722791861021,0.09935200113018051,0,
ATOM-USD,drawdown_10,False,False,177,70,107,0.3954802259887006,1.2167182835023544,2612.2133461409376,0.26122133461409375,0.14024937427423165,0.13021658327095506,0,
ATOM-USD,baseline,True,True,53,19,34,0.3584905660377358,1.2050308558231286,775.5909108125561,0.07755909108125561,0.07741127286545604,0.08176750926521273,0,
ATOM-USD,drawdown_10,True,True,73,28,45,0.3835616438356164,1.40286923257407,1983.4763479070498,0.19834763479070497,0.14910845971065353,0.07906168158757282,0,
ATOM-USD,sma200_only,False,False,146,61,85,0.4178082191780822,1.1681514015186143,1597.9145074411626,0.15979145074411627,0.10643003778894061,0.11217495520085606,0,
ATOM-USD,drawdown_10,False,True,85,29,56,0.3411764705882353,1.1896768536381233,1160.72119485648,0.116072119485648,0.09024914697883436,0.10739224464587926,0,
ATOM-USD,sma200_only,True,False,139,58,81,0.4172661870503597,1.1958038657678371,1753.7611385000491,0.1753761138500049,0.11652718497988523,0.10264049609372032,0,
ATOM-USD,baseline,False,True,61,20,41,0.32786885245901637,1.1148644377503094,524.7071043736069,0.052470710437360686,0.05296110730976424,0.104483877874749,0,
ATOM-USD,sma200_only,True,True,36,14,22,0.3888888888888889,1.3691821401752213,880.2422077130523,0.08802422077130523,0.1013737454668974,0.06550134014133173,0,
ATOM-USD,sma200_only,False,True,40,15,25,0.375,1.2836591947673976,774.4689498535754,0.07744689498535753,0.08797914348213423,0.0681258941701284,0,
