position_id,symbol,direction,regime,score,entry_price,exit_price,exit_reason,pnl,indicators_dir,indicators_conf,harmonic_dir,harmonic_conf,harmonic_pattern,sr_dir,sr_conf,sr_strength,sr_distance,sr_touches
7d44af4f,ATOM-USD,BUY,CHOP,0.6792401295990268,4.608912467956543,4.672144410292155,stop_loss,136.77573125997262,BUY,0.85,,,,BUY,0.91,0.88,,15
9cff2f8a,ATOM-USD,BUY,CHOP,0.6577766494871289,4.724311828613281,4.684061416614238,stop_loss,-88.80822925038116,BUY,0.85,SELL,0.44,Gartley,BUY,0.87,0.85,,13
402e85a9,ATOM-USD,SELL,CHOP,0.670655009774384,4.593285083770752,4.442203538902709,take_profit,175.6929693547064,SELL,0.82,,,,SELL,0.91,0.97,,16
7c54c10b,ATOM-USD,BUY,BEAR,0.7529451562237635,4.476992607116699,4.481469599723815,stop_loss,40.41902832429615,BUY,0.66,BUY,0.6,Gartley,BUY,0.93,1.0,,15
32899cd6,ATOM-USD,BUY,BEAR,0.7632043364638621,4.4672160148620605,4.434783409548334,stop_loss,-76.60166328144,BUY,0.66,BUY,0.59,Gartley,BUY,0.96,1.0,,15
718abec2,ATOM-USD,SELL,BEAR,0.6793094355360478,4.436921119689941,4.344823819556759,take_profit,123.20309973908432,SELL,0.85,BUY,0.55,Gartley,SELL,0.93,1.0,,15
50fea66c,ATOM-USD,SELL,CHOP,0.6884370901744352,4.1047682762146,4.015525357418193,take_profit,130.56298307804525,SELL,0.82,SELL,0.49,Butterfly,SELL,0.61,0.49,,10
4fbd665d,AAPL,SELL,CHOP,0.7210963746980088,149.83999633789062,149.69015634155272,stop_loss,76.23761546346911,SELL,0.85,,,,SELL,0.99,1.0,,5
059b891f,AAPL,BUY,CHOP,0.6629527173360271,150.17999267578125,140.31768474863273,stop_loss,-151.14356423195193,BUY,0.66,,,,BUY,0.97,1.0,,5
6abb51ad,AAPL,BUY,CHOP,0.6676706172996718,150.82000732421875,162.54246989518847,stop_loss,208.85773689641755,BUY,0.82,,,,BUY,0.9,1.0,,6
881d19c9,AAPL,SELL,BULL,0.7081378379764177,170.42999267578125,177.6089754380382,stop_loss,-152.00927682191912,SELL,0.68,SELL,0.54,Gartley,SELL,0.83,0.79,,5
3b5b7da1,AAPL,SELL,CHOP,0.6977806980170865,173.44000244140625,173.26656243896485,stop_loss,76.89915715419542,SELL,0.68,SELL,0.45,Gartley,SELL,0.72,0.62,,4
5991eae2,AAPL,BUY,BULL,0.6642676390318507,192.35000610351562,211.7207820724161,take_profit,256.5004625457356,BUY,0.85,,,,BUY,0.9,0.97,,6
