symbol,timeframe,atr_mult,rr_ratio,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,expectancy,avg_win,avg_loss,diag_signals,diag_gate_passed,diag_guard_blocked,error
ADA-USD,1h,6.0,2.0,104,42,62,0.40384615384615385,1.093323171081755,464.1544023669667,0.046415440236696665,0.07037587489165414,0.08534724549335096,4.463023099682459,129.4709242713799,80.21974866178999,5037,105,7089,
AVAX-USD,1h,3.0,3.0,19,5,14,0.2631578947368421,0.912973953356463,-128.0194053025225,-0.01280194053025225,-0.023065445864891523,0.09561792499119548,-6.737863436974834,268.60552000971836,105.07478609650809,488,19,9756,
ADA-USD,1h,6.0,2.5,93,38,55,0.40860215053763443,1.0318661397706665,131.92711144049463,0.013192711144049463,0.02766665226098411,0.10617809954969477,1.4185710907580855,112.42020212719231,75.27346489805103,4918,94,7170,
ADA-USD,1h,6.0,3.0,92,36,56,0.391304347826087,1.0949472711086663,418.0798707216727,0.04180798707216727,0.06280467411866542,0.11888216218414431,4.544346420887777,133.92679496000457,78.63008478283015,5086,93,7063,
AVAX-USD,1h,2.0,2.0,222,72,150,0.32432432432432434,0.9453420834846639,-822.7762849936171,-0.08227762849936171,-0.049728307160502916,0.2037539105435727,-3.7061994819532202,197.64470676229564,100.3546344791927,6383,222,6347,
AVAX-USD,1h,3.0,2.0,161,52,109,0.32298136645962733,0.897128258915375,-1077.133615867735,-0.1077133615867735,-0.0924272710713932,0.16709024784069124,-6.690270906010731,180.6444748267259,96.06097529227041,7080,161,5878,
AVAX-USD,1h,3.0,1.5,194,73,121,0.37628865979381443,0.9092255844064266,-1078.723239038225,-0.10787232390382251,-0.09539877444086003,0.18589798461898394,-5.560429067207309,148.01146623157837,98.21124193341686,7465,194,5629,
AVAX-USD,1h,3.0,2.5,142,40,102,0.28169014084507044,0.8977777908422311,-1020.5728422286193,-0.10205728422286192,-0.08322855747278815,0.18580305891937587,-7.187132691750762,224.08232986714498,97.88103957759225,6413,142,6254,
AVAX-USD,1h,5.0,1.5,117,43,74,0.36752136752136755,0.8344514162441359,-1027.0474343279402,-0.10270474343279402,-0.14139611903999047,0.18154978978645508,-8.77818319938411,120.39200098570218,83.83653346909642,5594,117,6814,
AVAX-USD,1h,4.0,2.0,129,43,86,0.3333333333333333,0.9123808072741684,-713.9089715430364,-0.07139089715430363,-0.06971266315225998,0.19876258215351,-5.534178073977074,172.8825968940563,94.74256555799374,6403,130,6309,
AVAX-USD,1h,4.0,3.0,124,39,85,0.31451612903225806,0.922238296386768,-651.0405500870093,-0.06510405500870092,-0.0525490517925475,0.223138201468433,-5.250327016830795,197.97977136540683,98.49707803926923,6121,125,6475,
AVAX-USD,1h,5.0,2.0,112,39,73,0.3482142857142857,0.8400262048696084,-1034.8694272674347,-0.10348694272674347,-0.12779358986691303,0.18328646161550782,-9.239905600602135,139.33651250538247,88.61634815037473,5559,112,6826,
AVAX-USD,1h,4.0,1.5,140,55,85,0.39285714285714285,0.9043262045613512,-764.6425898540565,-0.07646425898540565,-0.08385557564383125,0.16011932187473774,-5.461732784671838,131.40984624004335,94.02569568301695,6841,141,6081,
AVAX-USD,1h,4.0,2.5,123,39,84,0.3170731707317073,0.90381248965747,-788.9459046602042,-0.07889459046602042,-0.07242160067388137,0.2210704171738043,-6.414194346830904,190.0825606036697,97.64483057384905,6495,124,6254,
AVAX-USD,1h,6.0,1.5,112,42,70,0.375,0.8574288886166057,-778.5595005977138,-0.07785595005977139,-0.11173174645103319,0.150985625486566,-6.9514241124795575,111.483114977625,78.01214756654228,5484,113,6910,
AVAX-USD,1h,5.0,2.5,118,41,77,0.3474576271186441,0.8726142849282607,-876.2976793668058,-0.08762976793668058,-0.09520665959462607,0.19514257147120462,-7.426251520057612,146.4095459488523,89.33881900350315,5621,119,6789,
AVAX-USD,1h,5.0,3.0,113,39,74,0.34513274336283184,0.9198132344301004,-535.3544918809948,-0.053535449188099486,-0.0512492968299445,0.1912735805885194,-4.737650370628266,157.46128884524248,90.22087509250609,5577,114,6800,
AVAX-USD,1h,6.0,2.0,106,40,66,0.37735849056603776,0.8759597178987675,-674.8394036971986,-0.06748394036971986,-0.088242157329573,0.15774516637443675,-6.366409468841532,119.14116198299521,82.43160428813654,5255,107,7022,
AVAX-USD,1h,6.0,2.5,103,39,64,0.3786407766990291,0.9382288254185401,-327.71135730091737,-0.03277113573009174,-0.035647809340625614,0.1502979309322573,-3.1816636631156925,127.62912679182801,82.89448909659701,5128,104,7071,
DOT-USD,1h,2.0,2.5,34,9,25,0.2647058823529412,0.8898032462348651,-286.0770701205056,-0.028607707012050558,-0.044028132278368395,0.1005409514260578,-8.414031474132443,256.6644529183739,103.84228585543471,1256,34,9319,
DOT-USD,1h,2.0,3.0,31,8,23,0.25806451612903225,1.0216287309957892,53.2683068164788,0.00532683068164788,0.016286909912385267,0.10519181284795238,1.7183324779510087,314.51471139136316,107.0804080136706,1249,31,9319,
DOT-USD,1h,2.0,1.5,106,38,68,0.3584905660377358,0.841141148445159,-1071.719508060769,-0.10717195080607689,-0.13622446180702288,0.1779760566588708,-10.11056139679966,149.33272839348322,99.21122333842831,2643,106,8525,
