analyzer,symbol,bar_index,direction,confidence,entry_price,atr,r,exit_reason
trend,AVAX-USD,4480,BUY,0.8017604199242149,14.48327350616455,0.11541831813344179,-1.0,sl
trend,AVAX-USD,4580,SELL,0.6120417436219838,13.742284774780273,0.06506628792960514,2.0,tp
trend,AVAX-USD,4680,SELL,0.7056834388365485,12.536349296569824,0.13688200215964771,2.0,tp
trend,AVAX-USD,4780,SELL,0.8696336104687744,11.656577110290527,0.09295995999238968,-1.0,sl
trend,AVAX-USD,4880,SELL,0.9,10.900006294250488,0.1036605739772268,2.0,tp
trend,AVAX-USD,4981,SELL,0.6721435445437509,10.14004135131836,0.0964829686132429,2.0,tp
trend,AVAX-USD,5081,SELL,0.69823594348239,9.249756813049316,0.11617108669179246,2.0,tp
trend,AVAX-USD,5181,SELL,0.6737211434209841,8.630200386047363,0.08514420223886913,-1.0,sl
trend,AVAX-USD,5287,BUY,0.6827067221553234,9.322111129760742,0.06505742585447748,-1.0,sl
trend,AVAX-USD,5387,SELL,0.6581989030844063,8.987065315246582,0.07437708628493195,-1.0,sl
trend,AVAX-USD,5487,SELL,0.8869113107712305,8.374048233032227,0.06653428235189637,-1.0,sl
trend,AVAX-USD,5587,BUY,0.8002715748831114,9.135868072509766,0.0981517341468301,-1.0,sl
trend,AVAX-USD,5687,BUY,0.7497114386450539,9.422996520996094,0.09463809537654089,-1.0,sl
trend,AVAX-USD,5787,BUY,0.6089268499882261,9.207103729248047,0.08506382042165883,-1.0,sl
trend,AVAX-USD,5887,BUY,0.8201885144280382,9.95510196685791,0.08708957939389013,-1.0,sl
trend,AVAX-USD,5987,BUY,0.6456970183553966,10.256966590881348,0.07223918490533512,-1.0,sl
trend,AVAX-USD,6095,SELL,0.6435456591915493,9.228558540344238,0.056271207490704224,2.0,tp
trend,AVAX-USD,6196,SELL,0.6003397197285526,9.437559127807617,0.04933223836931483,2.0,tp
trend,AVAX-USD,6296,SELL,0.7264160453795813,8.922975540161133,0.06355280744737678,-1.0,sl
trend,AVAX-USD,6398,BUY,0.8246913787961145,9.110931396484375,0.05128467660798259,-1.0,sl
trend,AVAX-USD,6498,SELL,0.8372014977421478,8.753204345703125,0.0767817730081889,-1.0,sl
trend,AVAX-USD,6599,SELL,0.6100226471594759,9.088091850280762,0.08047938183665915,-1.0,sl
trend,AVAX-USD,6701,BUY,0.6176868106819828,9.510000228881836,0.08246998078525616,-1.0,sl
trend,AVAX-USD,6801,SELL,0.6759583781675401,9.220000267028809,0.07627224852010057,-1.0,sl
trend,AVAX-USD,6949,BUY,0.6404817312250026,9.479999542236328,0.046234188326660625,-1.0,sl
trend,AVAX-USD,7111,SELL,0.6121862667721983,9.050000190734863,0.04600333070786934,-1.0,sl
trend,AVAX-USD,7227,BUY,0.6726946444575488,9.899999618530273,0.0825998458982905,2.0,tp
trend,AVAX-USD,7329,BUY,0.7086197708086254,9.880000114440918,0.07399179215473242,-1.0,sl
trend,AVAX-USD,7429,SELL,0.8609875911442153,9.300000190734863,0.05295636196926046,-1.0,sl
trend,AVAX-USD,7548,BUY,0.6041740748777217,9.489999771118164,0.06727999850964486,-1.0,sl
trend,AVAX-USD,7651,BUY,0.6034824322856917,9.430000305175781,0.06704568593016516,-1.0,sl
trend,AVAX-USD,7781,SELL,0.610220002431762,8.880000114440918,0.05249520303348348,-1.0,sl
trend,AVAX-USD,7881,SELL,0.9,7.630000114440918,0.12327296343909051,2.0,tp
trend,AVAX-USD,8009,SELL,0.7111123713255334,6.460000038146973,0.07026370604754129,-1.0,sl
trend,AVAX-USD,8109,SELL,0.6909628256067238,6.599999904632568,0.03668643269854547,2.0,tp
trend,AVAX-USD,8209,SELL,0.9,6.320000171661377,0.09233320849870459,2.0,tp
trend,AVAX-USD,8355,SELL,0.6520230224010317,6.110000133514404,0.09017159790591274,-1.0,sl
trend,AVAX-USD,8456,BUY,0.6644398228976159,6.440000057220459,0.07383732564536485,2.0,tp
trend,AVAX-USD,8556,BUY,0.6533157500121666,6.840000152587891,0.049344273245028845,2.0,tp
trend,AVAX-USD,8672,SELL,0.6417033394955224,6.679999828338623,0.060210278500042305,2.0,tp
trend,AVAX-USD,8772,SELL,0.7421036639477637,6.519999980926514,0.046879553156446034,2.0,tp
trend,AVAX-USD,8872,SELL,0.7454013399265823,6.519999980926514,0.05470632408288211,-1.0,sl
trend,AVAX-USD,8972,BUY,0.6571695451578651,6.659999847412109,0.04881530179177745,-1.0,sl
trend,AVAX-USD,9072,SELL,0.7847316693665727,6.309999942779541,0.0361346411607853,-1.0,sl
trend,AVAX-USD,9172,SELL,0.7296819360482858,6.369999885559082,0.04708987916346928,-1.0,sl
trend,AVAX-USD,9272,BUY,0.8295137140444026,6.579999923706055,0.05239672035401222,-1.0,sl
trend,AVAX-USD,9372,SELL,0.7748778718630646,6.413000106811523,0.04454391312481676,-1.0,sl
trend,AVAX-USD,9484,SELL,0.6551533758277718,6.214000225067139,0.05713546431700932,-1.0,sl
trend,AVAX-USD,9588,SELL,0.6409082614021157,6.320000171661377,0.051439619121049884,-1.0,sl
trend,AVAX-USD,9688,BUY,0.8819003441014689,6.758999824523926,0.07174946603673357,2.0,tp
trend,AVAX-USD,9809,BUY,0.6880256367978069,7.671999931335449,0.08581889037550261,-1.0,sl
trend,AVAX-USD,9942,BUY,0.612303750432274,7.446000099182129,0.04337938556614304,-1.0,sl
trend,AVAX-USD,10042,BUY,0.8489869629645794,7.505000114440918,0.05971523963833888,-1.0,sl
trend,AVAX-USD,10142,BUY,0.8046484776172124,8.038999557495117,0.08725704831638945,-1.0,sl
trend,ATOM-USD,250,BUY,0.8320247726851191,4.535696983337402,0.04329554881102054,-1.0,sl
trend,ATOM-USD,350,BUY,0.7553479029167471,4.937459468841553,0.060983510832760775,-1.0,sl
trend,ATOM-USD,452,BUY,0.6469642194537796,4.99421501159668,0.051486840125059434,-1.0,sl
trend,ATOM-USD,559,BUY,0.7126657279638142,4.877945423126221,0.029419627360675292,-1.0,sl
trend,ATOM-USD,659,SELL,0.9,4.223448753356934,0.046375386695257266,2.0,tp
trend,ATOM-USD,759,SELL,0.6368777379262686,4.2304511070251465,0.022859758255895143,-1.0,sl
trend,ATOM-USD,859,BUY,0.9,4.753483295440674,0.02822641286809262,-1.0,sl
trend,ATOM-USD,959,BUY,0.8885077180750577,4.819391250610352,0.03936746817947433,-1.0,sl
trend,ATOM-USD,1059,BUY,0.8175609159889329,4.632737636566162,0.02964578124385323,-1.0,sl
trend,ATOM-USD,1179,BUY,0.6533320060634541,4.699949264526367,0.05093075874665988,2.0,tp
trend,ATOM-USD,1318,BUY,0.6249883531135911,4.6677374839782715,0.031869598400686955,-1.0,sl
trend,ATOM-USD,1418,SELL,0.661471730524238,4.401314735412598,0.034327752342364605,-1.0,sl
trend,ATOM-USD,1533,SELL,0.621248928314183,4.369839191436768,0.019523081856263357,-1.0,sl
trend,ATOM-USD,1633,BUY,0.6449522612977678,4.684778690338135,0.02888504200650426,-1.0,sl
trend,ATOM-USD,1743,SELL,0.8084796229130014,4.598992824554443,0.03161327278705744,2.0,tp
trend,ATOM-USD,1848,SELL,0.6451644636770892,4.547184467315674,0.03313783730741171,2.0,tp
trend,ATOM-USD,1948,SELL,0.6912563025446183,4.150655269622803,0.027954149642136026,-1.0,sl
trend,ATOM-USD,2070,SELL,0.609698626523429,4.123814582824707,0.019129735807600252,-1.0,sl
trend,ATOM-USD,2170,BUY,0.6269551154156976,4.239476203918457,0.028699540390775064,-1.0,sl
trend,ATOM-USD,2270,BUY,0.753491402817428,4.2683424949646,0.02416227799678929,-1.0,sl
trend,ATOM-USD,2370,SELL,0.9,3.2421724796295166,0.12428632263840803,-1.0,sl
trend,ATOM-USD,2470,SELL,0.6833471335779355,3.3610501289367676,0.03259640799641149,2.0,tp
trend,ATOM-USD,2570,SELL,0.6878231300734257,3.254225730895996,0.02542744207146044,-1.0,sl
trend,ATOM-USD,2670,SELL,0.6301128021082186,3.1755597591400146,0.0195814796870966,-1.0,sl
trend,ATOM-USD,2770,SELL,0.7014054075154277,3.1815009117126465,0.018394636848626605,2.0,tp
trend,ATOM-USD,2897,SELL,0.6050058751318401,3.0371603965759277,0.01649205234673084,2.0,tp
trend,ATOM-USD,2997,SELL,0.7144082079929057,2.5741326808929443,0.02355816643056824,-1.0,sl
trend,ATOM-USD,3097,BUY,0.7830291945675177,3.0488550662994385,0.03608050207744881,-1.0,sl
trend,ATOM-USD,3237,SELL,0.6236049140915543,2.8149211406707764,0.0248012352305803,2.0,tp
trend,ATOM-USD,3337,SELL,0.7309767410949412,2.523103713989258,0.023244181023648024,2.0,tp
trend,ATOM-USD,3437,SELL,0.8795657016224346,2.2799270153045654,0.026771346667334578,2.0,tp
trend,ATOM-USD,3537,SELL,0.8979090763778921,2.2625153064727783,0.01609716044535933,2.0,tp
trend,ATOM-USD,3638,BUY,0.6600598673553792,2.4107606410980225,0.02412375958496648,-1.0,sl
trend,ATOM-USD,3756,SELL,0.6614686676146213,2.1230075359344482,0.010362920796439131,-1.0,sl
trend,ATOM-USD,3856,SELL,0.7570395905318451,1.8729383945465088,0.02272984913319116,-1.0,sl
trend,ATOM-USD,3956,SELL,0.6441730742578934,1.956465721130371,0.012579738429985807,-1.0,sl
trend,ATOM-USD,4056,BUY,0.631789173004007,2.0363736152648926,0.011380530968326188,2.0,tp
trend,ATOM-USD,4168,SELL,0.6669875813933223,1.9125022888183594,0.010598254089809562,-1.0,sl
trend,ATOM-USD,4268,BUY,0.9,2.323270320892334,0.016154477039571784,-1.0,sl
trend,ATOM-USD,4379,BUY,0.6873228298131188,2.5003063678741455,0.02338802836364657,2.0,tp
trend,ATOM-USD,4480,BUY,0.6582389774683414,2.6089441776275635,0.024014425073015228,-1.0,sl
trend,ATOM-USD,4580,BUY,0.8279690570130281,2.5609891414642334,0.0166867515339051,-1.0,sl
trend,ATOM-USD,4742,SELL,0.6363898638191985,2.3196585178375244,0.017910721075265243,2.0,tp
trend,ATOM-USD,4850,SELL,0.6522953958451752,2.18646240234375,0.016595737412680913,2.0,tp
trend,ATOM-USD,4950,SELL,0.7301982311581582,1.9219095706939697,0.026082216036291316,-1.0,sl
trend,ATOM-USD,5050,SELL,0.8687658244402874,1.8678715229034424,0.03785087796934245,-1.0,sl
trend,ATOM-USD,5167,SELL,0.6521603316888092,1.8814904689788818,0.012348840308668044,-1.0,sl
trend,ATOM-USD,5267,BUY,0.8532075317971656,2.1019814014434814,0.01968942153343824,2.0,tp
trend,ATOM-USD,5388,BUY,0.6703786484562185,2.3666582107543945,0.024834325332015128,-1.0,sl
trend,ATOM-USD,5488,SELL,0.9,2.021496295928955,0.01827214721184093,-1.0,sl
trend,ATOM-USD,5588,SELL,0.8413814478104389,1.8540034294128418,0.019006600499284192,2.0,tp
trend,ATOM-USD,5688,SELL,0.6885481654395434,1.8774340152740479,0.01573859902144246,2.0,tp
trend,ATOM-USD,5788,SELL,0.8706789713734658,1.7511494159698486,0.014159136704314174,-1.0,sl
trend,ATOM-USD,5888,BUY,0.7148905640037747,1.8653626441955566,0.008560611366673243,-1.0,sl
trend,ATOM-USD,5988,BUY,0.8415198123342105,1.9396051168441772,0.011514351935044808,2.0,tp
trend,ATOM-USD,6094,SELL,0.6501846065377906,1.7847431898117065,0.009365106944096594,-1.0,sl
trend,ATOM-USD,6194,SELL,0.7001660618165307,1.7306984663009644,0.008806571161209779,2.0,tp
trend,ATOM-USD,6294,SELL,0.7120272496941668,1.6901510953903198,0.008925729988486621,-1.0,sl
trend,ATOM-USD,6442,SELL,0.6333339912422987,1.6795579195022583,0.006716206440948817,-1.0,sl
trend,ATOM-USD,6548,BUY,0.6389612402144259,1.8121037483215332,0.012318228979038124,-1.0,sl
trend,ATOM-USD,6654,BUY,0.6266483732461505,1.7740000486373901,0.010565272797007164,-1.0,sl
trend,ATOM-USD,6788,SELL,0.6526661465613662,1.7599999904632568,0.01381782116285259,-1.0,sl
trend,ATOM-USD,6888,BUY,0.7318841780033329,1.9249999523162842,0.014584132877584883,2.0,tp
trend,ATOM-USD,7004,BUY,0.638652181734,1.9589999914169312,0.011112978406753602,-1.0,sl
trend,ATOM-USD,7173,BUY,0.6345116759233382,1.9609999656677246,0.016309401383563557,-1.0,sl
trend,ATOM-USD,7273,BUY,0.6867388715232763,2.0139999389648438,0.01997729188007682,-1.0,sl
trend,ATOM-USD,7390,SELL,0.6482623077042728,1.9459999799728394,0.021071090523422674,-1.0,sl
trend,ATOM-USD,7525,BUY,0.6215979378986056,2.072000026702881,0.01845959306209059,-1.0,sl
trend,ATOM-USD,7625,BUY,0.7332348129807069,2.1549999713897705,0.027302673971066567,2.0,tp
trend,ATOM-USD,7725,SELL,0.7238318028395829,2.000999927520752,0.021888107696456712,-1.0,sl
trend,ATOM-USD,7825,SELL,0.9,1.8270000219345093,0.021552137631751397,-1.0,sl
trend,ATOM-USD,7925,SELL,0.9,1.6180000305175781,0.02525120489052612,-1.0,sl
trend,ATOM-USD,8029,BUY,0.6313024077993513,1.8509999513626099,0.027825454499025692,2.0,tp
trend,ATOM-USD,8129,BUY,0.6782985863353387,1.9620000123977661,0.01610670963553655,-1.0,sl
trend,ATOM-USD,8229,SELL,0.8664684057426366,1.8220000267028809,0.017060232995653696,2.0,tp
trend,ATOM-USD,8329,SELL,0.8524606691430512,1.7350000143051147,0.01733303269818966,2.0,tp
trend,ATOM-USD,8439,SELL,0.6753610888250098,1.559999942779541,0.012148685293104904,-1.0,sl
trend,ATOM-USD,8539,SELL,0.6426569238371107,1.555999994277954,0.01289211006368001,-1.0,sl
trend,ATOM-USD,8677,SELL,0.6110512834078451,1.565999984741211,0.013054724236551803,-1.0,sl
trend,ATOM-USD,8777,SELL,0.7308527641552744,1.5609999895095825,0.009690486655155815,-1.0,sl
trend,ATOM-USD,8877,SELL,0.7744896080171251,1.5010000467300415,0.010595395123043833,-1.0,sl
trend,ATOM-USD,8978,SELL,0.6246241303478092,1.49399995803833,0.008872526259921893,2.0,tp
trend,ATOM-USD,9078,SELL,0.6998650590443265,1.3910000324249268,0.007222930148577958,2.0,tp
trend,ATOM-USD,9178,SELL,0.8709449504207355,1.284000039100647,0.011270199945826707,2.0,tp
trend,ATOM-USD,9278,SELL,0.7552859714471556,1.2589999437332153,0.007642485838875586,-1.0,sl
trend,ATOM-USD,9378,BUY,0.6242135712179889,1.3509999513626099,0.008873205013351947,2.0,tp
trend,ATOM-USD,9478,BUY,0.6744660707478468,1.4190000295639038,0.009513205578543373,-1.0,sl
trend,ATOM-USD,9619,BUY,0.6465054135829916,1.4620000123977661,0.009000061367367689,-1.0,sl
trend,ATOM-USD,9719,BUY,0.9,1.5644999742507935,0.018868045387810974,2.0,tp
trend,ATOM-USD,9846,SELL,0.6210169337513693,1.4991999864578247,0.0197118083421545,-1.0,sl
trend,ATOM-USD,9950,SELL,0.6546460471042377,1.455299973487854,0.015011873068913665,-1.0,sl
trend,ATOM-USD,10050,BUY,0.7126172423709124,1.5126999616622925,0.011592321957095812,-1.0,sl
trend,ADA-USD,250,BUY,0.7129986774222505,0.7314988970756531,0.008789301005818973,-1.0,sl
trend,ADA-USD,350,BUY,0.7172437295834299,0.8287585973739624,0.011555462262735162,2.0,tp
trend,ADA-USD,450,BUY,0.6429372433147985,0.8641231656074524,0.009074779998341682,-1.0,sl
trend,ADA-USD,561,BUY,0.6067447666079993,0.834862232208252,0.006309445145254255,-1.0,sl
trend,ADA-USD,661,SELL,0.8970549031395708,0.7297008633613586,0.007705730720468791,2.0,tp
trend,ADA-USD,761,SELL,0.7126105337420998,0.7367129921913147,0.005187403941795915,-1.0,sl
trend,ADA-USD,861,BUY,0.9,0.8182542324066162,0.006458389416502896,-1.0,sl
