bar,equity
362,10153.863205776868
363,10153.863205776868
364,10153.863205776868
365,10153.863205776868
366,10153.863205776868
367,10153.863205776868
368,10153.863205776868
369,10153.863205776868
370,10153.863205776868
371,10153.863205776868
372,10153.863205776868
373,10153.863205776868
374,10153.863205776868
375,10153.863205776868
376,10153.863205776868
377,10153.863205776868
378,10153.863205776868
379,10153.863205776868
380,10153.863205776868
381,10153.863205776868
382,10153.863205776868
383,10153.863205776868
384,10153.863205776868
385,10153.863205776868
386,10153.863205776868
387,10153.863205776868
388,10153.863205776868
389,10153.863205776868
390,10153.863205776868
391,10153.863205776868
392,10153.863205776868
393,10153.863205776868
394,10153.863205776868
395,10153.863205776868
396,10153.863205776868
397,10153.863205776868
398,10153.863205776868
399,10153.863205776868
400,10153.863205776868
401,10232.206379619052
402,10232.206379619052
403,10232.206379619052
404,10232.206379619052
405,10232.206379619052
406,10232.206379619052
407,10232.206379619052
408,10232.206379619052
409,10232.206379619052
410,10232.206379619052
411,10232.206379619052
412,10232.206379619052
413,10232.206379619052
414,10232.206379619052
415,10232.206379619052
416,10232.206379619052
417,10232.206379619052
418,10232.206379619052
419,10232.206379619052
420,10232.206379619052
421,10232.206379619052
422,10232.206379619052
423,10232.206379619052
424,10232.206379619052
425,10232.206379619052
426,10232.206379619052
427,10232.206379619052
428,10232.206379619052
429,10232.206379619052
430,10232.206379619052
431,10232.206379619052
432,10232.206379619052
433,10232.206379619052
434,10232.206379619052
435,10232.206379619052
436,10232.206379619052
437,10232.206379619052
438,10232.206379619052
439,10232.206379619052
440,10232.206379619052
441,10232.206379619052
442,10232.206379619052
443,10232.206379619052
444,10232.206379619052
445,10232.206379619052
446,10232.206379619052
447,10232.206379619052
448,10232.206379619052
449,10232.206379619052
450,10232.206379619052
451,10232.206379619052
452,10232.206379619052
453,10232.206379619052
454,10232.206379619052
455,10232.206379619052
456,10232.206379619052
457,10232.206379619052
458,10232.206379619052
459,10232.206379619052
460,10232.206379619052
461,10232.206379619052
462,10232.206379619052
463,10232.206379619052
464,10232.206379619052
465,10232.206379619052
466,10232.206379619052
467,10232.206379619052
468,10232.206379619052
469,10232.206379619052
470,10232.206379619052
471,10232.206379619052
472,10232.206379619052
473,10232.206379619052
474,10232.206379619052
475,10232.206379619052
476,10232.206379619052
477,10232.206379619052
478,10232.206379619052
479,10232.206379619052
480,10232.206379619052
481,10232.206379619052
482,10232.206379619052
483,10232.206379619052
484,10232.206379619052
485,10232.206379619052
486,10232.206379619052
487,10232.206379619052
488,10232.206379619052
489,10232.206379619052
490,10232.206379619052
491,10232.206379619052
492,10232.206379619052
493,10232.206379619052
494,10232.206379619052
495,10232.206379619052
496,10232.206379619052
497,10232.206379619052
498,10232.206379619052
499,10232.206379619052
500,10232.206379619052
501,10232.206379619052
502,10232.206379619052
503,10232.206379619052
504,10232.206379619052
505,10232.206379619052
506,10232.206379619052
507,10232.206379619052
508,10232.206379619052
509,10232.206379619052
510,10232.206379619052
511,10232.206379619052
512,10232.206379619052
513,10232.206379619052
514,10232.206379619052
515,10232.206379619052
516,10232.206379619052
517,10232.206379619052
518,10232.206379619052
519,10232.206379619052
520,10232.206379619052
521,10232.206379619052
522,10232.206379619052
523,10232.206379619052
524,10232.206379619052
525,10232.206379619052
526,10232.206379619052
527,10232.206379619052
528,10232.206379619052
529,10232.206379619052
530,10232.206379619052
531,10232.206379619052
532,10232.206379619052
533,10232.206379619052
534,10232.206379619052
535,10232.206379619052
536,10232.206379619052
537,10232.206379619052
538,10232.206379619052
539,10232.206379619052
540,10232.206379619052
541,10232.206379619052
542,10232.206379619052
543,10232.206379619052
544,10232.206379619052
545,10232.206379619052
546,10232.206379619052
547,10232.206379619052
548,10232.206379619052
549,10232.206379619052
550,10232.206379619052
551,10232.206379619052
552,10232.206379619052
553,10232.206379619052
554,10232.206379619052
555,10232.206379619052
556,10232.206379619052
557,10232.206379619052
558,10232.206379619052
559,10232.206379619052
560,10232.206379619052
561,10232.206379619052
562,10232.206379619052
563,10232.206379619052
564,10232.206379619052
565,10232.206379619052
566,10232.206379619052
567,10232.206379619052
568,10232.206379619052
569,10232.206379619052
570,10232.206379619052
571,10232.206379619052
572,10232.206379619052
573,10232.206379619052
574,10232.206379619052
575,10232.206379619052
576,10232.206379619052
577,10232.206379619052
578,10232.206379619052
579,10232.206379619052
580,10232.206379619052
581,10232.206379619052
582,10232.206379619052
583,10232.206379619052
584,10232.206379619052
585,10232.206379619052
586,10232.206379619052
587,10232.206379619052
588,10232.206379619052
589,10232.206379619052
590,10232.206379619052
591,10232.206379619052
592,10232.206379619052
593,10232.206379619052
594,10232.206379619052
595,10232.206379619052
596,10232.206379619052
597,10232.206379619052
598,10232.206379619052
599,10232.206379619052
600,10232.206379619052
601,10232.206379619052
602,10232.206379619052
603,10232.206379619052
604,10232.206379619052
605,10232.206379619052
606,10232.206379619052
607,10232.206379619052
608,10232.206379619052
609,10232.206379619052
610,10232.206379619052
611,10232.206379619052
612,10232.206379619052
613,10232.206379619052
614,10232.206379619052
615,10232.206379619052
616,10232.206379619052
617,10232.206379619052
618,10232.206379619052
619,10232.206379619052
620,10232.206379619052
621,10232.206379619052
622,10232.206379619052
623,10232.206379619052
624,10232.206379619052
625,10232.206379619052
626,10232.206379619052
627,10232.206379619052
628,10232.206379619052
629,10232.206379619052
630,10232.206379619052
631,10232.206379619052
632,10232.206379619052
633,10232.206379619052
634,10232.206379619052
635,10232.206379619052
636,10232.206379619052
637,10232.206379619052
638,10232.206379619052
639,10232.206379619052
640,10232.206379619052
641,10232.206379619052
642,10232.206379619052
643,10232.206379619052
644,10232.206379619052
645,10232.206379619052
646,10232.206379619052
647,10232.206379619052
648,10232.206379619052
649,10232.206379619052
650,10232.206379619052
651,10232.206379619052
652,10232.206379619052
653,10232.206379619052
654,10232.206379619052
655,10232.206379619052
656,10232.206379619052
657,10232.206379619052
658,10232.206379619052
659,10232.206379619052
660,10232.206379619052
661,10232.206379619052
662,10232.206379619052
663,10232.206379619052
664,10232.206379619052
665,10232.206379619052
666,10232.206379619052
