symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.1,0.8,0.1,0.0,175,64,111,0.3657142857142857,1.3630223607581193,5172.574427836313,0.5172574427836313,0.31771018978421134,0.10024314520686439,
BTC-USD,0.1,0.7,0.2,0.0,147,51,96,0.3469387755102041,1.2346729170999389,2706.2170667283517,0.2706217066728352,0.20740607942506806,0.07846970954905999,
BTC-USD,0.2,0.0,0.1,0.7,42,10,32,0.23809523809523808,0.7046543915138122,-1006.3922032672253,-0.10063922032672254,-0.17266366560482332,0.16970650956417066,
BTC-USD,0.2,0.0,0.0,0.8,61,17,44,0.2786885245901639,0.7817841017358547,-1058.1007092179552,-0.10581007092179552,-0.14582163580131688,0.19378118202297093,
BTC-USD,0.2,0.0,0.2,0.6,54,20,34,0.37037037037037035,1.294448817126018,1112.6681958000881,0.11126681958000881,0.14840528039241263,0.1334072739231702,
BTC-USD,0.2,0.0,0.3,0.5,45,17,28,0.37777777777777777,1.3040589315322852,912.0239256474688,0.09120239256474688,0.13567351812802508,0.11399433024198642,
BTC-USD,0.2,0.1,0.0,0.7,58,16,42,0.27586206896551724,0.7573337548432301,-1101.8637889585134,-0.11018637889585134,-0.15943331882365094,0.18312627965362038,
BTC-USD,0.2,0.0,0.4,0.4,23,10,13,0.43478260869565216,1.7343411680561662,1085.171339167764,0.1085171339167764,0.2019406795190423,0.05502930444131369,
BTC-USD,0.2,0.1,0.1,0.6,52,14,38,0.2692307692307692,0.7381048415806359,-1091.8847334433885,-0.10918847334433886,-0.1663706952307768,0.16806596148664138,
BTC-USD,0.2,0.0,0.5,0.3,15,7,8,0.4666666666666667,2.0707806314301167,962.6962715446989,0.09626962715446989,0.21097336254122853,0.04298397339572972,
BTC-USD,0.2,0.0,0.6,0.2,13,6,7,0.46153846153846156,1.9722908239575916,767.3233448550945,0.07673233448550945,0.1847117906968327,0.05373254265007278,
BTC-USD,0.2,0.0,0.8,0.0,14,11,3,0.7857142857142857,6.846861579867755,2033.1604959886827,0.20331604959886826,0.41509295316180006,0.021260742541552025,
BTC-USD,0.2,0.0,0.7,0.1,10,7,3,0.7,5.381125520307961,1505.7687901813297,0.15057687901813296,0.34329721636418087,0.02205600924441219,
BTC-USD,0.2,0.1,0.2,0.5,58,24,34,0.41379310344827586,1.583639155802227,2286.064950686701,0.22860649506867012,0.2602079604483431,0.13387881442812835,
BTC-USD,0.2,0.1,0.3,0.4,39,18,21,0.46153846153846156,1.8610213453676014,2059.0520776707326,0.20590520776707327,0.2797283213659366,0.05418258202307725,
