symbol,atr_mult,rr_ratio,filter_chop,long_only,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,buy_trades,buy_pnl,sell_trades,sell_pnl,error
ADA-USD,4.0,2.0,False,False,138,55,83,0.39855072463768115,1.152610084184689,1211.8951219866922,0.12118951219866922,0.12829113013003912,0.11650069607535318,62,345.8395549524514,76,866.0555670342404,
ADA-USD,4.0,2.5,False,False,131,47,84,0.35877862595419846,1.161730647605875,1279.1408906510496,0.12791408906510496,0.12666224160491088,0.12656409722749604,55,322.6456104871206,76,956.4952801639288,
DOT-USD,2.0,2.0,False,False,94,28,66,0.2978723404255319,0.837628737344657,-1055.826133793913,-0.1055826133793913,-0.12368636350018312,0.1638561775016768,54,-410.15048547824307,40,-645.6756483156636,
DOT-USD,2.0,2.5,False,False,31,8,23,0.25806451612903225,0.8610187159467819,-330.58057303311944,-0.03305805730331195,-0.05573946171177262,0.10054095142605769,23,-228.50615123901494,8,-102.0744217941037,
ADA-USD,4.0,3.0,False,False,125,45,80,0.36,1.2662871194653653,2048.981940896645,0.2048981940896645,0.18030737662038035,0.1333713012588389,51,800.1736599677197,74,1248.808280928923,
DOT-USD,2.0,3.0,False,False,31,8,23,0.25806451612903225,1.0216287309957892,53.26830681647516,0.005326830681647516,0.016286909912384684,0.1051918128479527,22,163.6607315567586,9,-110.39242474027735,
ADA-USD,4.0,3.5,False,False,113,39,74,0.34513274336283184,1.1828734468726556,1238.4163260824698,0.12384163260824699,0.12080700511528204,0.12916436582805618,42,133.65306004437,71,1104.7632660380937,
ADA-USD,4.0,2.0,True,False,134,53,81,0.39552238805970147,1.1554997724052358,1201.8018073612748,0.12018018073612748,0.128438034751924,0.10473847059408446,61,-1.1026048833785058,73,1202.9044122446494,
DOT-USD,2.0,3.5,False,False,24,6,18,0.25,0.8974139721401727,-193.4571635829925,-0.01934571635829925,-0.03002323081672262,0.0956179249911953,19,184.35062923544325,5,-377.807792818437,
ADA-USD,4.0,3.0,True,False,77,23,54,0.2987012987012987,0.9705246449598833,-148.05105397982516,-0.014805105397982516,-0.007307031910016711,0.08655329496474244,30,-153.97905500659076,47,5.928001026760816,
ADA-USD,4.0,2.5,True,False,126,46,80,0.36507936507936506,1.194816749172436,1463.9782987163708,0.14639782987163708,0.14361606876564573,0.10708342584043634,54,27.115319671745183,72,1436.8629790446184,
ADA-USD,4.0,3.5,True,False,70,19,51,0.2714285714285714,0.8819598164116524,-536.5206114340435,-0.05365206114340435,-0.05657758904749719,0.09908310648843847,25,-779.5861578626071,45,243.06554642856338,
DOT-USD,2.0,2.0,True,False,90,27,63,0.3,0.8391677631616877,-1022.8465781826344,-0.10228465781826344,-0.12283648363710446,0.16916536119934963,52,-438.5389740649109,38,-584.3076041177198,
DOT-USD,2.5,3.5,False,False,23,6,17,0.2608695652173913,0.84822105426681,-266.95139694532736,-0.026695139694532737,-0.04642614633495503,0.09561792499119555,19,11.568996882420855,4,-278.5203938277477,
DOT-USD,2.0,2.5,True,False,175,55,120,0.3142857142857143,1.0798887269735666,1024.6866114873865,0.10246866114873865,0.09004181535919487,0.16938389581752908,88,-260.01151636728616,87,1284.698127854673,
DOT-USD,2.0,3.0,True,False,155,44,111,0.2838709677419355,1.1253416910166525,1550.73468688896,0.155073468688896,0.12095257377621724,0.17029583142521176,74,400.9439739551909,81,1149.7907129337698,
DOT-USD,2.0,3.5,True,False,141,38,103,0.2695035460992908,1.1157316997467748,1307.3912853866368,0.13073912853866368,0.10515684079987699,0.13806703514105695,69,-291.1721688946631,72,1598.5634542813007,
DOT-USD,3.0,3.0,False,False,23,6,17,0.2608695652173913,0.8311086891788249,-281.51923390107004,-0.028151923390107005,-0.05586379450576493,0.08819785942353088,19,-79.21349057594563,4,-202.30574332512964,
DOT-USD,2.5,2.0,False,False,161,61,100,0.37888198757763975,1.1099254176356794,1190.4095539227292,0.11904095539227291,0.11397718509823858,0.10687194687358864,83,-721.0288107678996,78,1911.438364690623,
DOT-USD,2.5,2.5,False,False,143,46,97,0.32167832167832167,1.0800829041255424,820.8214969039582,0.08208214969039582,0.08154812174023993,0.12876240291340682,69,-211.22267542234704,74,1032.0441723263116,
