symbol,w_trend,w_elliott,w_volatility,w_volume,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.1,0.4,0.5,0.0,63,24,39,0.38095238095238093,1.504912484863664,2371.55281003605,0.23715528100360497,0.2543502665640211,0.07838195063614166,
BTC-USD,0.1,0.4,0.2,0.3,40,15,25,0.375,1.3491241893973964,992.1983083804444,0.09921983083804443,0.15066664138680178,0.09589692389635844,
BTC-USD,0.1,0.5,0.3,0.1,113,41,72,0.36283185840707965,1.2709063940558074,2380.310752579162,0.2380310752579162,0.20795185856976328,0.07838195063614156,
BTC-USD,0.1,0.5,0.4,0.0,113,41,72,0.36283185840707965,1.2709063940558074,2380.310752579162,0.2380310752579162,0.20795185856976328,0.07838195063614156,
BTC-USD,0.1,0.3,0.3,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.4,0.0,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.4,0.1,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.1,0.6,0.1,0.2,127,49,78,0.3858267716535433,1.5104434288719852,5074.9979712185595,0.507499797121856,0.3518138640009212,0.07838195063614159,
BTC-USD,0.1,0.6,0.3,0.0,119,46,73,0.3865546218487395,1.5321172076283067,5084.550997547834,0.5084550997547834,0.3589889949600828,0.09674137825824784,
BTC-USD,0.1,0.6,0.0,0.3,139,51,88,0.3669064748201439,1.3424379744558856,3889.326100839835,0.3889326100839835,0.2798002316372619,0.09299609038430029,
BTC-USD,0.1,0.9,0.0,0.0,162,60,102,0.37037037037037035,1.398999670513327,5239.135205052633,0.5239135205052633,0.330512072215757,0.10024314520686424,
BTC-USD,0.1,0.6,0.2,0.1,127,49,78,0.3858267716535433,1.5104434288719852,5074.9979712185595,0.507499797121856,0.3518138640009212,0.07838195063614159,
BTC-USD,0.1,0.8,0.1,0.0,175,64,111,0.3657142857142857,1.3542885316857511,5057.242496602845,0.5057242496602845,0.31291512226994506,0.10024314520686424,
BTC-USD,0.1,0.8,0.0,0.1,177,65,112,0.3672316384180791,1.370810363039022,5254.239173803844,0.5254239173803844,0.3201362773744028,0.10024314520686424,
BTC-USD,0.1,0.7,0.2,0.0,130,50,80,0.38461538461538464,1.4870112768167993,5061.870922182994,0.5061870922182994,0.34823340340954934,0.09674137825824787,
BTC-USD,0.1,0.7,0.0,0.2,140,52,88,0.37142857142857144,1.376697412768032,4289.522553089242,0.4289522553089242,0.3000791214253935,0.07838195063614138,
BTC-USD,0.1,0.7,0.1,0.1,140,52,88,0.37142857142857144,1.376697412768032,4289.522553089242,0.4289522553089242,0.3000791214253935,0.07838195063614138,
BTC-USD,0.2,0.0,0.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.1,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.2,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.8,0.0,62,23,39,0.3709677419354839,1.366275899201929,1627.4416944019558,0.1627441694401956,0.19105477038295354,0.11548989137242846,
BTC-USD,0.2,0.0,0.3,0.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.4,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.6,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.5,0.3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.2,0.0,0.7,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
