symbol,w_trend,w_elliott,w_volatility,w_volume,w_mean_rev,trades,wins,losses,win_rate,profit_factor,total_pnl,total_pnl_pct,sharpe,max_dd_pct,error
BTC-USD,0.2,0.6,0.2,0.0,0.0,138,50,88,0.36231884057971014,1.3164416407568587,3505.977905294394,0.3505977905294394,0.2594935278277318,0.09299609038430022,
BTC-USD,0.4,0.0,0.0,0.4,0.2,34,8,26,0.23529411764705882,0.6437954429811735,-1000.8370299376365,-0.10008370299376365,-0.1920552497880009,0.1388070398190131,
BTC-USD,0.4,0.0,0.0,0.6,0.0,34,8,26,0.23529411764705882,0.6437954429811735,-1000.8370299376365,-0.10008370299376365,-0.1920552497880009,0.1388070398190131,
BTC-USD,0.4,0.0,0.2,0.4,0.0,40,10,30,0.25,0.6658585548522498,-1085.845643463732,-0.10858456434637319,-0.19601152879815492,0.1571976535042246,
BTC-USD,0.4,0.2,0.0,0.2,0.2,50,14,36,0.28,0.9151382484315915,-342.5864771787892,-0.03425864771787892,-0.03962677900037628,0.10579672768903865,
BTC-USD,0.4,0.2,0.0,0.0,0.4,91,28,63,0.3076923076923077,1.022922694871265,167.42532839214982,0.016742532839214983,0.03149054718829158,0.10830041507639156,
BTC-USD,0.4,0.2,0.0,0.4,0.0,108,31,77,0.28703703703703703,0.9125268756160096,-746.4605855929294,-0.07464605855929295,-0.06051127693940737,0.13019027101652775,
BTC-USD,0.4,0.0,0.6,0.0,0.0,35,12,23,0.34285714285714286,1.006327436453375,16.511290668704532,0.0016511290668704533,0.011289441106084474,0.10648426865619051,
BTC-USD,0.4,0.0,0.0,0.2,0.4,43,16,27,0.37209302325581395,1.3006170645096728,897.2661948104123,0.08972661948104123,0.13429941651238364,0.1341758609195292,
BTC-USD,0.4,0.2,0.2,0.2,0.0,101,31,70,0.3069306930693069,1.0259947152710034,211.17145006549072,0.02111714500654907,0.03560321594281177,0.10830041507639135,
BTC-USD,0.4,0.2,0.2,0.0,0.2,92,28,64,0.30434782608695654,0.9995883919184647,-3.005923441136474,-0.00030059234411364743,0.01397771176914969,0.10830041507639168,
BTC-USD,0.4,0.0,0.4,0.2,0.0,64,25,39,0.390625,1.2813183628358407,1227.7335207930173,0.12277335207930173,0.154898860592644,0.1323805132732385,
BTC-USD,0.4,0.0,0.2,0.2,0.2,52,20,32,0.38461538461538464,1.293436862710249,1038.4756521960699,0.10384756521960699,0.14428585517408105,0.12650551668102097,
BTC-USD,0.4,0.0,0.0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
BTC-USD,0.4,0.0,0.4,0.0,0.2,37,17,20,0.4594594594594595,1.5550767324236532,1286.0624410651562,0.1286062441065156,0.20537437626499366,0.09520521135087336,
BTC-USD,0.4,0.0,0.2,0.0,0.4,13,10,3,0.7692307692307693,6.895005587808493,2000.6898342830063,0.20006898342830062,0.4104993978690908,0.010688812896366244,
BTC-USD,0.4,0.2,0.4,0.0,0.0,100,31,69,0.31,1.011476845231787,91.34409983924343,0.009134409983924343,0.023947541041154482,0.11804996593107851,
BTC-USD,0.4,0.4,0.0,0.0,0.2,138,50,88,0.36231884057971014,1.3164416407568587,3505.977905294394,0.3505977905294394,0.2594935278277318,0.09299609038430022,
BTC-USD,0.4,0.4,0.0,0.2,0.0,148,52,96,0.35135135135135137,1.274954759631115,3168.652311344211,0.3168652311344211,0.23362458375086506,0.09299609038430022,
BTC-USD,0.6,0.0,0.0,0.0,0.4,120,37,83,0.30833333333333335,1.0258243980290107,256.78039912032,0.025678039912031998,0.039313183160371,0.12333014519003803,
BTC-USD,0.4,0.4,0.2,0.0,0.0,142,52,90,0.36619718309859156,1.3569007604232504,3995.451883687054,0.3995451883687054,0.2837567180983118,0.09299609038430015,
BTC-USD,0.6,0.0,0.0,0.2,0.2,121,38,83,0.3140495867768595,1.0478779315586948,486.31205316301384,0.048631205316301385,0.05915526731458849,0.12333014519003815,
BTC-USD,0.4,0.6,0.0,0.0,0.0,138,50,88,0.36231884057971014,1.3164416407568587,3505.977905294394,0.3505977905294394,0.2594935278277318,0.09299609038430022,
BTC-USD,0.6,0.0,0.0,0.4,0.0,121,38,83,0.3140495867768595,1.0478779315586948,486.31205316301384,0.048631205316301385,0.05915526731458849,0.12333014519003815,
BTC-USD,0.6,0.0,0.2,0.0,0.2,122,38,84,0.3114754098360656,1.0398104856958181,404.36808330317945,0.040436808330317944,0.05203448910583681,0.12333014519003792,
BTC-USD,0.6,0.0,0.2,0.2,0.0,123,39,84,0.3170731707317073,1.0613911959814826,637.2025325650939,0.06372025325650939,0.07158004825059633,0.12333014519003797,
BTC-USD,0.6,0.0,0.4,0.0,0.0,122,38,84,0.3114754098360656,1.0398104856958181,404.36808330317945,0.040436808330317944,0.05203448910583681,0.12333014519003792,
BTC-USD,0.6,0.2,0.0,0.0,0.2,176,59,117,0.3352272727272727,1.155929820886981,2189.266023632046,0.21892660236320463,0.1646985049722411,0.11563317363874395,
BTC-USD,0.6,0.2,0.0,0.2,0.0,177,59,118,0.3333333333333333,1.1611643932608895,2294.4151251398252,0.22944151251398254,0.17022308431681282,0.10845141483596558,
BTC-USD,0.6,0.2,0.2,0.0,0.0,178,60,118,0.33707865168539325,1.165256072541296,2364.660784396445,0.23646607843964448,0.17417272011174795,0.10875074619037324,
BTC-USD,0.6,0.4,0.0,0.0,0.0,176,59,117,0.3352272727272727,1.155929820886981,2189.266023632046,0.21892660236320463,0.1646985049722411,0.11563317363874395,
BTC-USD,0.8,0.0,0.0,0.0,0.2,188,63,125,0.3351063829787234,1.1581644749458906,2382.1488313984064,0.23821488313984063,0.17188992266330497,0.11857040383663259,
BTC-USD,0.8,0.0,0.0,0.2,0.0,188,63,125,0.3351063829787234,1.1581644749458906,2382.1488313984064,0.23821488313984063,0.17188992266330497,0.11857040383663259,
BTC-USD,0.8,0.0,0.2,0.0,0.0,188,63,125,0.3351063829787234,1.1581644749458906,2382.1488313984064,0.23821488313984063,0.17188992266330497,0.11857040383663259,
BTC-USD,0.8,0.2,0.0,0.0,0.0,188,63,125,0.3351063829787234,1.1581644749458906,2382.1488313984064,0.23821488313984063,0.17188992266330497,0.11857040383663259,
BTC-USD,1.0,0.0,0.0,0.0,0.0,188,63,125,0.3351063829787234,1.1581644749458906,2382.1488313984064,0.23821488313984063,0.17188992266330497,0.11857040383663259,
ETH-USD,0.0,0.0,0.0,1.0,0.0,21,5,16,0.23809523809523808,0.6977397159260915,-526.1245727851583,-0.05261245727851583,-0.09056647907179123,0.10297932260565504,
ETH-USD,0.0,0.0,0.0,0.2,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.0,0.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.0,0.4,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.0,0.8,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.0,0.6,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.2,0.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.2,0.2,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.2,0.4,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.2,0.6,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.2,0.8,0.0,9,3,6,0.3333333333333333,0.8159510211412411,-117.99408826635772,-0.011799408826635773,-0.030651761028036767,0.04775453109162521,
ETH-USD,0.0,0.0,0.4,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.4,0.4,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.4,0.2,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.4,0.6,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.6,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.0,0.8,0.0,26,6,20,0.23076923076923078,0.678305286406016,-694.3152279668884,-0.06943152279668884,-0.1102535571753827,0.12653420736030552,
ETH-USD,0.0,0.0,0.6,0.2,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.6,0.4,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.8,0.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,0.8,0.2,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.0,0.0,0.8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.0,0.2,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.0,0.4,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.0,0.6,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.2,0.0,0.6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.2,0.2,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.2,0.6,0.0,4,2,2,0.5,2.2241649156839483,269.5419626150833,0.026954196261508332,0.08830689839221927,0.010933567102991265,
ETH-USD,0.0,0.2,0.2,0.4,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
ETH-USD,0.0,0.2,0.4,0.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,
